Midland, TX,91.2,2.2,76.9,3.6,,,,,,,
Milwaukee-Waukesha-West Allis, WI,88.4,0.6,79.0,0.7,,,,,,,
Minneapolis-St. Paul-Bloomington, MN-WI,93.6,0.3,85.4,0.5,,,,,,,
Missoula, MT,93.9,1.8,82.0,3.7,,,,,,,
Mobile, AL,79.0,2.2,67.5,2.4,,,,,,,
Modesto, CA,85.2,1.5,73.2,2.2,,,,,,,
Monroe, LA,79.5,2.8,66.9,3.3,,,,,,,
Monroe, MI,87.6,2.1,75.6,3.2,,,,,,,
Montgomery, AL,86.4,1.5,76.6,1.8,,,,,,,
Morgantown, WV,89.6,1.7,81.3,2.5,,,,,,,
Morristown, TN,80.1,3.7,65.9,4.0,,,,,,,
Mount Vernon-Anacortes, WA,91.3,1.4,81.6,2.6,,,,,,,
Muncie, IN,87.5,1.7,75.5,2.7,,,,,,,
Muskegon, MI,86.7,2.0,75.4,2.9,,,,,,,
Myrtle Beach-Conway-North Myrtle Beach, SC-NC,89.6,1.3,78.2,1.5,,,,,,,
Napa, CA,94.2,1.6,85.9,2.6,,,,,,,
Naples-Immokalee-Marco Island, FL,89.9,1.6,81.3,2.1,,,,,,,
Nashville-Davidson--Murfreesboro--Franklin, TN,89.3,0.7,78.8,0.9,,,,,,,
New Bern, NC,87.5,2.0,78.4,2.9,,,,,,,
New Haven-Milford, CT,87.9,0.9,80.1,1.3,,,,,,,
New Orleans-Metairie, LA,84.1,0.8,72.1,1.2,,,,,,,
New York-Newark-Jersey City, NY-NJ-PA,90.1,0.2,82.6,0.2,,,,,,,
Niles-Benton Harbor, MI,85.7,2.2,74.8,2.7,,,,,,,
North Port-Sarasota-Bradenton, FL,90.9,0.8,79.0,1.5,,,,,,,
Norwich-New London, CT,91.8,1.3,85.8,1.7,,,,,,,
Ocala, FL,86.7,1.8,75.1,2.7,,,,,,,
Ocean City, NJ,89.0,2.0,80.0,2.6,,,,,,,
Odessa, TX,88.8,2.1,80.2,3.1,,,,,,,
Ogden-Clearfield, UT,95.3,0.6,86.3,1.2,,,,,,,
Oklahoma City, OK,89.1,0.8,76.3,1.1,,,,,,,
Olympia-Tumwater, WA,91.8,1.6,84.4,2.1,,,,,,,
Omaha-Council Bluffs, NE-IA,89.8,0.8,80.9,1.0,,,,,,,
Orlando-Kissimmee-Sanford, FL,89.4,0.8,79.7,1.1,,,,,,,
Oshkosh-Neenah, WI,87.4,2.1,76.5,2.8,,,,,,,
Owensboro, KY,85.5,2.0,76.4,3.3,,,,,,,
Oxnard-Thousand Oaks-Ventura, CA,90.9,1.0,82.2,1.4,,,,,,,
Palm Bay-Melbourne-Titusville, FL,92.1,1.0,83.5,1.8,,,,,,,
Panama City, FL,87.5,2.3,78.6,2.3,,,,,,,
Parkersburg-Vienna, WV,88.3,1.9,77.1,3.2,,,,,,,
Pensacola-Ferry Pass-Brent, FL,88.9,1.4,81.0,2.1,,,,,,,
Peoria, IL,87.4,1.1,78.0,1.5,,,,,,,
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,90.2,0.3,82.2,0.4,,,,,,,
Phoenix-Mesa-Scottsdale, AZ,87.3,0.5,77.3,0.6,,,,,,,
Pine Bluff, AR,81.5,2.6,58.6,4.6,,,,,,,
Pittsburgh, PA,87.6,0.4,79.9,0.6,,,,,,,
Pittsfield, MA,87.0,1.8,79.1,2.5,,,,,,,
Pocatello, ID,94.1,1.4,81.9,3.6,,,,,,,
Port St. Lucie, FL,87.0,2.0,78.9,2.4,,,,,,,
Portland-South Portland, ME,91.7,1.1,84.1,1.4,,,,,,,
Portland-Vancouver-Hillsboro, OR-WA,93.6,0.5,85.9,0.6,,,,,,,
Prescott, AZ,88.6,2.0,77.9,2.8,,,,,,,
Providence-Warwick, RI-MA,88.5,0.6,82.4,0.7,,,,,,,
Provo-Orem, UT,96.7,0.7,87.1,1.4,,,,,,,
Pueblo, CO,85.2,2.0,70.1,2.9,,,,,,,
Punta Gorda, FL,88.8,2.3,76.9,2.8,,,,,,,
Racine, WI,86.2,2.4,80.0,2.3,,,,,,,
Raleigh, NC,93.7,0.7,84.3,1.0,,,,,,,
Rapid City, SD,91.1,1.6,78.7,2.8,,,,,,,
Reading, PA,88.0,1.1,79.9,1.6,,,,,,,
Redding, CA,85.2,2.3,75.5,2.6,,,,,,,
Reno, NV,90.1,1.2,80.6,1.9,,,,,,,
Richmond, VA,89.3,0.7,78.8,1.0,,,,,,,
Riverside-San Bernardino-Ontario, CA,90.2,0.4,79.4,0.6,,,,,,,
Roanoke, VA,85.8,1.6,76.7,1.9,,,,,,,
Rochester, MN,92.5,0.9,85.9,1.3,,,,,,,
Rochester, NY,87.6,0.7,79.0,1.0,,,,,,,
Rockford, IL,87.5,1.4,78.7,1.6,,,,,,,
Rocky Mount, NC,79.7,2.4,62.9,3.4,,,,,,,
Rome, GA,85.7,2.8,73.2,4.4,,,,,,,
Sacramento--Roseville--Arden-Arcade, CA,91.8,0.5,81.2,0.8,,,,,,,
Saginaw, MI,83.4,2.3,72.8,2.2,,,,,,,
